trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
21007841,2018-10-02 13:18:43,2018-10-02 13:22:22,1052,219.0,320,Loomis St & Lexington St,261.0,Hermitage Ave & Polk St,Subscriber,Male,1992.0
21007842,2018-10-02 13:18:46,2018-10-02 13:33:01,440,855.0,359,Larrabee St & Division St,85.0,Michigan Ave & Oak St,Customer,Male,1961.0
21007843,2018-10-02 13:18:49,2018-10-02 13:26:56,1550,487.0,289,Wells St & Concord Ln,331.0,Halsted St & Clybourn Ave (*),Subscriber,Male,1990.0
21007845,2018-10-02 13:19:06,2018-10-02 13:21:40,1608,154.0,168,Michigan Ave & 14th St,59.0,Wabash Ave & Roosevelt Rd,Subscriber,Male,1989.0
21007847,2018-10-02 13:19:22,2018-10-02 13:36:39,9,"1,037.0",283,LaSalle St & Jackson Blvd,24.0,Fairbanks Ct & Grand Ave,Subscriber,Male,1973.0
21007848,2018-10-02 13:19:42,2018-10-02 13:40:29,3035,"1,247.0",54,Ogden Ave & Chicago Ave,43.0,Michigan Ave & Washington St,Subscriber,Male,1984.0
21007849,2018-10-02 13:19:51,2018-10-02 13:33:34,3741,823.0,209,Normal Ave & Archer Ave,272.0,Indiana Ave & 31st St,Subscriber,Male,1994.0
21007851,2018-10-02 13:20:00,2018-10-02 13:24:27,1919,267.0,21,Aberdeen St & Jackson Blvd,192.0,Canal St & Adams St,Subscriber,Male,1989.0
21007852,2018-10-02 13:20:15,2018-10-02 13:34:13,6255,838.0,36,Franklin St & Jackson Blvd,97.0,Field Museum,Subscriber,Male,1994.0
21007853,2018-10-02 13:20:33,2018-10-02 13:50:02,497,"1,769.0",465,Marine Dr & Ainslie St,465.0,Marine Dr & Ainslie St,Subscriber,Male,1989.0
21007857,2018-10-02 13:20:39,2018-10-02 13:33:24,5538,765.0,3,Shedd Aquarium,90.0,Millennium Park,Subscriber,,
21007859,2018-10-02 13:20:39,2018-10-02 13:28:28,3201,469.0,47,State St & Kinzie St,40.0,LaSalle St & Adams St,Subscriber,Male,1968.0
21007860,2018-10-02 13:20:44,2018-10-02 13:25:00,1307,256.0,191,Canal St & Monroe St (*),192.0,Canal St & Adams St,Subscriber,Male,1961.0
21007861,2018-10-02 13:20:49,2018-10-02 13:36:46,1129,957.0,49,Dearborn St & Monroe St,48.0,Larrabee St & Kingsbury St,Subscriber,Male,1986.0
21007863,2018-10-02 13:21:12,2018-10-02 13:29:20,971,488.0,81,Daley Center Plaza,624.0,Dearborn St & Van Buren St (*),Subscriber,Male,1966.0
21007864,2018-10-02 13:21:12,2018-10-02 13:59:13,1157,"2,281.0",35,Streeter Dr & Grand Ave,90.0,Millennium Park,Customer,,
21007867,2018-10-02 13:21:23,2018-10-02 13:38:34,2009,"1,031.0",145,Mies van der Rohe Way & Chestnut St,197.0,Michigan Ave & Madison St,Customer,,
21007868,2018-10-02 13:21:24,2018-10-02 13:30:36,1624,552.0,15,Racine Ave & 18th St,241.0,Morgan St & Polk St,Subscriber,Female,1987.0
21007870,2018-10-02 13:21:39,2018-10-02 13:38:34,2472,"1,015.0",145,Mies van der Rohe Way & Chestnut St,197.0,Michigan Ave & Madison St,Customer,,
21007871,2018-10-02 13:21:49,2018-10-02 13:33:27,1164,698.0,273,Michigan Ave & 18th St,75.0,Canal St & Jackson Blvd,Subscriber,Male,1987.0
21007873,2018-10-02 13:21:55,2018-10-02 13:58:52,2682,"2,217.0",35,Streeter Dr & Grand Ave,90.0,Millennium Park,Customer,Female,1988.0
21007874,2018-10-02 13:21:55,2018-10-02 13:35:22,3013,807.0,342,Wolcott Ave & Polk St,241.0,Morgan St & Polk St,Subscriber,Female,1996.0
21007875,2018-10-02 13:21:57,2018-10-02 13:30:48,2375,531.0,145,Mies van der Rohe Way & Chestnut St,181.0,LaSalle St & Illinois St,Subscriber,Male,1963.0
21007876,2018-10-02 13:22:00,2018-10-02 13:39:02,4414,"1,022.0",350,Ashland Ave & Chicago Ave,287.0,Franklin St & Monroe St,Subscriber,Female,1990.0
21007877,2018-10-02 13:22:02,2018-10-02 13:32:48,2808,646.0,197,Michigan Ave & Madison St,59.0,Wabash Ave & Roosevelt Rd,Subscriber,Male,1986.0
21007880,2018-10-02 13:22:10,2018-10-02 13:30:55,6171,525.0,374,Western Ave & Walton St,69.0,Damen Ave & Pierce Ave,Subscriber,Male,1990.0
21007882,2018-10-02 13:22:20,2018-10-02 13:29:01,6101,401.0,52,Michigan Ave & Lake St,37.0,Dearborn St & Adams St,Subscriber,Female,1983.0
21007885,2018-10-02 13:22:31,2018-10-02 13:33:27,2590,656.0,90,Millennium Park,24.0,Fairbanks Ct & Grand Ave,Customer,,
21007886,2018-10-02 13:22:34,2018-10-02 13:25:45,5940,191.0,242,Damen Ave & Leland Ave,344.0,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1995.0
21007887,2018-10-02 13:22:37,2018-10-02 13:30:53,2331,496.0,199,Wabash Ave & Grand Ave,91.0,Clinton St & Washington Blvd,Subscriber,Male,1985.0
21007889,2018-10-02 13:22:47,2018-10-02 13:29:29,4436,402.0,197,Michigan Ave & Madison St,394.0,Clark St & 9th St (AMLI),Subscriber,Male,1979.0
21007890,2018-10-02 13:22:50,2018-10-02 13:28:38,641,348.0,58,Marshfield Ave & Cortland St,16.0,Paulina Ave & North Ave,Subscriber,Male,1991.0
21007892,2018-10-02 13:22:52,2018-10-02 14:29:15,3223,"3,983.0",596,Benson Ave & Church St,596.0,Benson Ave & Church St,Customer,,
21007893,2018-10-02 13:22:52,2018-10-02 13:50:42,3570,"1,670.0",619,Keystone Ave & Fullerton Ave,84.0,Milwaukee Ave & Grand Ave,Subscriber,Male,1984.0
21007894,2018-10-02 13:23:00,2018-10-02 13:29:35,2369,395.0,322,Kimbark Ave & 53rd St,328.0,Ellis Ave & 58th St,Subscriber,Female,1991.0
21007897,2018-10-02 13:23:09,2018-10-02 13:48:31,3082,"1,522.0",177,Theater on the Lake,35.0,Streeter Dr & Grand Ave,Customer,,
21007898,2018-10-02 13:23:11,2018-10-02 13:33:01,2964,590.0,49,Dearborn St & Monroe St,73.0,Jefferson St & Monroe St,Subscriber,Male,1956.0
21007900,2018-10-02 13:23:16,2018-10-02 14:29:15,5377,"3,959.0",596,Benson Ave & Church St,596.0,Benson Ave & Church St,Customer,,
21007903,2018-10-02 13:23:30,2018-10-02 13:29:01,3780,331.0,119,Ashland Ave & Lake St (Temp),88.0,Racine Ave & Randolph St,Subscriber,Male,1948.0
21007904,2018-10-02 13:23:32,2018-10-02 13:48:38,721,"1,506.0",177,Theater on the Lake,35.0,Streeter Dr & Grand Ave,Customer,,
21007905,2018-10-02 13:23:39,2018-10-02 13:26:52,3327,193.0,62,McCormick Place,338.0,Calumet Ave & 18th St,Subscriber,Male,1951.0
21007906,2018-10-02 13:23:44,2018-10-02 13:41:26,3300,"1,062.0",287,Franklin St & Monroe St,28.0,Larrabee St & Menomonee St,Subscriber,Male,1967.0
21007907,2018-10-02 13:23:53,2018-10-02 13:39:08,4397,915.0,195,Columbus Dr & Randolph St,268.0,Lake Shore Dr & North Blvd,Subscriber,Male,1988.0
21007908,2018-10-02 13:23:55,2018-10-02 13:40:32,4897,997.0,293,Broadway & Wilson Ave,156.0,Clark St & Wellington Ave,Subscriber,Male,1986.0
21007909,2018-10-02 13:24:00,2018-10-02 13:43:19,2764,"1,159.0",338,Calumet Ave & 18th St,286.0,Franklin St & Quincy St,Subscriber,Male,1989.0
21007913,2018-10-02 13:24:18,2018-10-02 13:33:53,2535,575.0,55,Halsted St & Roosevelt Rd,59.0,Wabash Ave & Roosevelt Rd,Subscriber,Male,1980.0
21007918,2018-10-02 13:24:43,2018-10-02 13:32:39,6051,476.0,268,Lake Shore Dr & North Blvd,143.0,Sedgwick St & Webster Ave,Subscriber,Male,1986.0
21007919,2018-10-02 13:24:53,2018-10-02 13:35:13,95,620.0,22,May St & Taylor St,261.0,Hermitage Ave & Polk St,Subscriber,Female,1952.0
21007920,2018-10-02 13:24:53,2018-10-02 13:31:30,4788,397.0,283,LaSalle St & Jackson Blvd,77.0,Clinton St & Madison St,Subscriber,Male,1989.0
